en-US	cs-cz	da-dk	de-at	de-ch	de-de	en-au	en-ca	en-gb	en-nz	es-es_tradnl	es-mx	fi-fi	fr-be	fr-ca	fr-ch	fr-fr	is-is	it-ch	it-it	nb-no	nl-be	nl-nl	sv-se	Description
Service Order	Servisní zakázka	Serviceordre	Serviceauftrag	Serviceauftrag	Serviceauftrag	Service Order	Service Order	Service Order	Service Order	Pedido servicio	Pedido servicio	Huoltotilaus	Commande service	Commande service	Commande service	Commande service	Þjónustupöntun	Ordine assistenza	Ordine assistenza	Serviceordre	Serviceorder	Serviceorder	Serviceorder	Document (Service). Controls repair/maintenance tasks, allocations, parts usage, and billing for service items.
Service Price Group	Cenová skupina servisu	Serviceprisgruppe	Servicepreisgruppe	Servicepreisgruppe	Servicepreisgruppe	Service Price Group	Service Price Group	Service Price Group	Service Price Group	Grupo precio servicio	Grupo precio servicio	Huoltohintaryhmä	Groupe tarifs service	Groupe tarifs service	Groupe tarifs service	Groupe tarifs service	Þjónustuverðflokkur	Gruppo prezzo assistenza	Gruppo prezzo assistenza	Serviceprisgruppe	Serviceprijsgroep	Serviceprijsgroep	Serviceprisgrupp	Grouping (Service Pricing). Associates standardized service pricing rules with customers or service items.
Subcontracted Cost	Náklady subdodavatele	Underleverandørkostpris	Fremdarbeitskosten	Fremdarbeitskosten	Fremdarbeitskosten	Subcontracted Cost	Subcontracted Cost	Subcontracted Cost	Subcontracted Cost	Coste subcontratado	Costo subcontratado	Alihankintakustannus	Coût sous-traitance	Coût sous-traitance	Coût sous-traitance	Coût sous-traitance	Kostn. v/undirverkt.	Costo conto lavoro	Costo conto lavoro	Underleveransekostnader	Uitbestedingskosten	Uitbestedingskosten	Legokostnad	"Cost component (Manufacturing). Portion of item cost attributed to outsourced operation charges; appears in value entries."
Service Quote	Nabídka servisu	Servicetilbud	Serviceangebot	Serviceofferte	Serviceangebot	Service Quote	Service Quote	Service Quote	Service Quote	Oferta servicio	Cotización de servicio	Huoltotarjous	Devis service	Devis service	Devis service	Devis service	Þjónustutilboð	Offerta assistenza	Offerta assistenza	Servicetilbud	Serviceofferte	Serviceofferte	Serviceoffert	"Pre-commitment document (Service). Proposed service work scope and pricing; convertible to Service Order; non-posting."
Tracking Specification	Specifikace sledování	Sporingsspecifikation	Verfolgungsspezifikation	Trackingspezifikation	Verfolgungsspezifikation	Tracking Specification	Tracking Specification	Tracking Specification	Tracking Specification	Especificación seguimiento	Especificación seguimiento	Seurannan määrittely	Spécification traçabilité	Spécification traçabilité	Spécification traçabilité	Spécification traçabilité	Rakningarlýsing	Specifica tracciabilità	Specifica tracciabilità	Sporingsspesifikasjon	Traceringsspecificatie	Traceringsspecificatie	Spårningsspecifikation	"Internal tracking record (Inventory). Detailed allocation of lot/serial/package for a line; ensures uniqueness and trace."
Service Zone	Zóna servisu	Servicezone	Servicegebiet	Servicegebiet	Servicegebiet	Service Zone	Service Zone	Service Zone	Service Zone	Zona servicio	Zona servicio	Huoltoalue	Zone service	Zone service	Zone service	Zone service	Þjónustusvæði	Zona assistenza	Zona assistenza	Servicesone	Serviceregio	Serviceregio	Servicezon	"Geographical classification (Service). Region grouping for scheduling and pricing; influences assignment and travel considerations."
Specifies	Určuje	Angiver	Gibt	Gibt	Gibt	Specifies	Specifies	Specifies	Specifies	Especifica	Especifica	Määrittää	Spécifie	Spécifie	Spécifie	Spécifie	Tilgreinir	Specifica	Specifica	Angir	Hiermee	Hiermee	Anger	"Standard tooltip prefix (UI/Fields). Opening word for field tooltips throughout Business Central; introduces the field's purpose or content."
Transfer Shipment	Dodávka transferu	Overflytningsforsendelse	Umlagerungsausgang	Umlagerungsausgang	Umlagerungsausgang	Transfer Shipment	Transfer Shipment	Transfer Shipment	Transfer Shipment	Envío transfer.	Envío transfer.	Siirtotoimitus	Expédition transfert	Livraison transfert	Expédition transfert	Expédition transfert	Millifærsluafhending	Spedizione trasferimento	Spedizione trasferimento	Overføringsseddel	Transferverzending	Transferverzending	Överföringsutleverans	"Posted outbound transfer document (Inventory). Records shipment leg of inter-location transfer; goods become in transit."
Transfer Receipt	Příjemka transferu	Overflytningskvittering	Umlagerungseingang	Umlagerungseingang	Umlagerungseingang	Transfer Receipt	Transfer Receipt	Transfer Receipt	Transfer Receipt	Recep. transfer.	Recep. transfer.	Siirtovastaanotto	Réception transfert	Réception transfert	Réception transfert	Réception transfert	Flutningskvittun	Ricevuta trasferimento	Ricevuta trasferimento	Overføringsmottak	Transferontvangst	Transferontvangst	Överföringsinleverans	"Posted inbound transfer document (Inventory). Records receipt leg completing transfer; updates on-hand at destination."
SKU	SKJ	Varenummer	SKU	SKU	SKU	SKU	SKU	SKU	SKU	UA	UA	Varastointiyksikkö	SKU	SKU	SKU	SKU	BHE	SKU	SKU	Lagerføringsenhet	SKU	SKU	Lagerställeenhet	"Abbreviation for Stockkeeping Unit—see Stockkeeping Unit entry; avoid expanding when UI expects SKU."
Stockkeeping Unit	Skladová jednotka	Lagervare (pr. lok.)	Lagerhaltungsdaten	Lagerhaltungsdaten	Lagerhaltungsdaten	Stockkeeping Unit	Stockkeeping Unit	Stockkeeping Unit	Stockkeeping Unit	Ud. de almacenam.	Unidad de almacenam.	Varastointiyksikkö	Point de stock	Unité de stock	Point de stock	Point de stock	Birgðahaldseining	Unità di stockkeeping	Unità di stockkeeping	Lagerføringsenhet	SKU	SKU	Lagerställeenhet	Item-location-variant record (Inventory Planning). Granular planning master specifying replenishment parameters per combination.
Subcontracting	Subdodávka	Underleverance	Fremdarbeit	Fremdarbeit	Fremdarbeit	Subcontracting	Subcontracting	Subcontracting	Subcontracting	Subcontratación	Subcontratación	Alihankinta	Sous-traitance	Sous-traitance	Sous-traitance	Sous-traitance	Undirverktaka	Conto lavoro	Conto lavoro	Underleveranse	Uitbesteding	Uitbesteding	Legotillverkning	"Process (Manufacturing). Outsourcing specific routing operations to external vendors; impacts lead time and cost collection."
Variant Code	Kód varianty	Variantkode	Variantencode	Variantencode	Variantencode	Variant Code	Variant Code	Variant Code	Variant Code	Cód. variante	Cód. variante	Varianttikoodi	Code variante	Code variante	Code variante	Code variante	Afbrigðiskóði	Cod. variante	Cod. variante	Variantkode	Variant	Variant	Variantkod	"Identifier (Inventory). Code selecting an Item Variant on document or planning line; differentiates characteristics."
Warehouse Adjustment	Korekce skladu	Lagerregulering	Ausgleich	Ausgleich	Ausgleich	Warehouse Adjustment	Warehouse Adjustment	Warehouse Adjustment	Warehouse Adjustment	Ajustar almacén	Ajustar almacén	Fyysisen varaston muutos	Ajustement entrepôt	Ajustement entrepôt	Ajustement entrepôt	Ajustement entrepôt	Leiðrétting vöruhúss	Rettifica warehouse	Rettifica warehouse	Lagerjustering	Magazijnaanpassing	Magazijnaanpassing	Justerat dist.lager	Inventory value/quantity correction (Warehouse). Adjustments recorded via warehouse journals to align bin quantities with physical count.
Transfer Order	Objednávka transferu	Overflytningsordre	Umlagerungsauftrag	Umlagerungsauftrag	Umlagerungsauftrag	Transfer Order	Transfer Order	Transfer Order	Transfer Order	Ped. transfer.	Ped. transfer.	Siirtotilaus	Ordre de transfert	Ordre de transfert	Ordre de transfert	Ordre de transfert	Millifærslupöntun	Ordine di trasferimento	Ordine di trasferimento	Overføringsordre	Transferorder	Transferorder	Överföringsorder	"Document (Inventory). Controls internal movement of items between locations; produces Transfer Shipment and Receipt postings."
VAT	DPH	Moms	MwSt.	MWST	MwSt.	GST	Tax	VAT	GST	IVA	IVA	ALV	TVA	TVA	TVA	TVA	VSK	IVA	IVA	Mva.	Btw	Btw	Moms	"Value Added Tax (Tax). Indirect consumption tax handled via VAT Posting Groups on transactions; abbreviation preserved."
VAT Entry	DPH položka	Momspost	MwSt.-Posten	MWST-Posten	MwSt.-Posten	GST Entry	Tax Entry	VAT Entry	GST Entry	Mov. IVA	Mov. IVA	ALV-tapahtuma	Écriture TVA	Écriture TVA	Écriture TVA	Écriture TVA	VSK-færsla	Movimenti IVA	Movimenti IVA	Mva-post	Btw-post	Btw-post	Momstransaktion	Posted tax record (Tax). Ledger entry capturing VAT base and amount per transaction for reporting and settlement.
VAT Statement	Výkaz DPH	Momsangivelse	MwSt.-Abrechnung	MWST-Abrechnung	MwSt.-Abrechnung	GST Statement	Tax Statement	VAT Statement	GST Statement	Declaración IVA	Declaración IVA	ALV-ilmoitus	Déclaration de TVA	Déclaration de TVA	Déclaration de TVA	Déclaration de TVA	VSK-yfirlit	Dichiarazione IVA	Dichiarazione IVA	Mva-oppgave	Btw-aangifte	Btw-aangifte	Momsrapport	"Reporting definition (Tax). Layout aggregating VAT Entries into boxes for return filing; can be simulated and posted."
Warehouse Entry	Položka skladu	Lagerpost	Lagerplatzposten	Lagerplatzposten	Lagerplatzposten	Warehouse Entry	Warehouse Entry	Warehouse Entry	Warehouse Entry	Movimiento almacén	Movimiento almacén	F. var. tapahtuma	Écriture entrepôt	Écriture magasin	Écriture entrepôt	Écriture entrepôt	Vöruhúsafærsla	Movimento warehouse	Movimento warehouse	Lagerpost	Magazijnpost	Magazijnpost	Dist.lager transaktion	Posted warehouse ledger (Warehouse). Records bin-level quantity changes resulting from warehouse activities.
Whse. Internal Pick	Interní vyskladnění	Internt pluk (logistik)	Interne Kommiss.-Anforderung	Interne Kommiss.-Anforderung	Interne Kommiss.-Anforderung	Whse. Internal Pick	Whse. Internal Pick	Whse. Internal Pick	Whse. Internal Pick	Picking interno almacén	Picking interno almacén	F.var. sisäinen poiminta	Prélèvement interne entrepôt	Prélèvement interne magasin	Prélèvement interne entrepôt	Prélèvement interne entrepôt	Innanhússtínsla vöruhúss	Prelievo interno whse.	Prelievo interno whse.	Intern plukk	Interne mag.-pick	Interne mag.-pick	Dist.lager intern plockning	Internal request document (Warehouse). Pick for internal consumption or movement not tied to external shipment.
Whse. Internal Put-away	Interní zaskladnění	Intern læg-på-lager (logistik)	Interne Einlag.-Anforderung	Interne Einlag.-Anforderung	Interne Einlag.-Anforderung	Whse. Internal Put-away	Whse. Internal Put-away	Whse. Internal Put-away	Whse. Internal Put-away	Almacenamiento interno alm.	Almacenamiento interno alm.	F.var. sisäinen hyllytys	Rangement interne entrepôt	Rangement interne magasin	Rangement interne entrepôt	Rangement interne entrepôt	Innanhússfrágangur vöruhúss	Stoccaggio interno whse.	Stoccaggio interno whse.	Intern plassering	Interne mag.-opslag	Interne mag.-opslag	Dist.lager intern artikelinförsel	Internal put-away document (Warehouse). Places internally moved or produced goods into storage bins.
Whse. Movement	Skladový přesun	Lagerstedsbevægelse	Lagerpl.-Umlagerung	Lagerpl.-Umlagerung	Lagerpl.-Umlagerung	Whse. Movement	Whse. Movement	Whse. Movement	Whse. Movement	Movimiento almacén	Movimiento almacén	Fyysisen varaston siirto	Mouvement entrepôt	Mouvement entrepôt	Mouvement entrepôt	Mouvement entrepôt	Vöruh.hreyfing	Movimentazione warehouse	Movimentazione warehouse	Lagerflytting	Magazijnverplaatsing	Magazijnverplaatsing	Dist.lager transport	Warehouse movement document (Warehouse). Moves items between bins while preserving inventory integrity.
Whse. Reclassification Journal	Deník přeřazení skladu	Lageromposteringskladde	Lagerumlag. Buch.-Blatt	Lagerumlag. Erf.-Journal	Lagerumlag. Buch.-Blatt	Whse. Reclassification Journal	Whse. Reclassification Journal	Whse. Reclassification Journal	Whse. Reclassification Journal	Diario reclasificación almacén	Diario reclasificación almacén	F.var. uud.luokpäiväkirja	Feuille reclassement entrepôt	Journal reclassement entrepôt	Feuille reclassement entrepôt	Feuille reclassement entrepôt	Vöruh.endurflokkunarbók	Registrazioni riclassificazione warehouse	Registrazioni riclassificazione warehouse	Lagerreklassifiseringskladd	Magazijnherindelingsdagboek	Magazijnherindelingsdagboek	Dist.lagergrupperingsjnl	Journal (Warehouse). Staging to reclassify bin, lot, serial, or package assignments at warehouse level.
Work Center Group	Skupina pracovních center	Arbejdscentergruppe	Abteilung	Abteilung	Abteilung	Work Centre Group	Work Centre Group	Work Centre Group	Work Centre Group	Grupo centro trabajo	Grupo centro trabajo	Tuotantosoluryhmä	Groupe centres de charge	Paramètres ateliers	Groupe centres de charge	Groupe centres de charge	Vinnustöðvarhópur	Gruppo aree di produzione	Gruppo aree di produzione	Arbeidssentergruppe	Afdelingsgroep	Afdelingsgroep	Produktionsavdelning	Grouping (Manufacturing). Collection of Work Centers with similar capabilities for load balancing.
Work Center Load	Zatížení prac.centra	Arbejdscenterbelastning	Arbeitsplatzgruppenauslastung	Arbeitsplatzgruppenauslastung	Arbeitsplatzgruppenauslastung	Work Centre Load	Work Centre Load	Work Centre Load	Work Centre Load	Carga centro trabajo	Carga centro trabajo	Tuotantosolun kuormitus	Charge centre de charge	Charger ateliers	Charge centre de charge	Charge centre de charge	Álag á vinnustöð	Carico area produzione	Carico area produzione	Arbeidssenterbelastning	Werklast afdeling	Werklast afdeling	Prod.grupp beläggning	Load view (Manufacturing). Required vs available capacity visualization for a Work Center over time.
Work Center Task List	Přehled úloh prac.centra	Arbejdscenter - opr.liste	Arb.Platzgrp.Auftr.Vorr.Übers.	Arb.Platzgrp.Auftr.Vorr.Liste	Arb.Platzgrp.Auftr.Vorr.Übers.	Work Centre Task List	Work Centre Task List	Work Centre Task List	Work Centre Task List	Lista tareas centro trabajo	Lista tareas centro trabajo	Tuotantosolun tehtäväluett.	Liste tâches centre de charge	Liste tâches atelier	Liste tâches centre de charge	Liste tâches centre de charge	Verkhlutalisti vinnustöðvar	Lista task area produzione	Lista task area produzione	Arbeidssenteroppgave - oversikt	Taakoverzicht afdeling	Taakoverzicht afdeling	Prod.grupp körplan	Operation list (Manufacturing). Sequence of tasks assigned to Work Center for execution scheduling.
Warehouse Pick	Vyskladnění	Pluk (logistik)	Kommissionierung	Kommissionierung	Kommissionierung	Warehouse Pick	Warehouse Pick	Warehouse Pick	Warehouse Pick	Picking almacén	Picking almacén	F.varastoinnin poiminta	Prélèvement entrepôt	Prélèvement magasin	Prélèvement entrepôt	Prélèvement entrepôt	Vöruhús - Tína	Prelievo warehouse	Prelievo warehouse	Plukk	Magazijnpick	Magazijnpick	Distributionslagerplockning	Document (Warehouse). Guided picking instructions for outbound shipments or production supply.
Warehouse Put-away	Zaskladnění	Læg-på-lager (logistik)	Einlagerung	Einlagerung	Einlagerung	Warehouse Put-away	Warehouse Put-away	Warehouse Put-away	Warehouse Put-away	Almacenamiento almacén	Almacenamiento almacén	F.varastoinnin hyllytys	Rangement entrepôt	Rangement magasin	Rangement entrepôt	Rangement entrepôt	Vöruhús - Frágangur	Stoccaggio warehouse	Stoccaggio warehouse	Plassering	Magazijnopslag	Magazijnopslag	Dist.lager artikelinförsel	Document (Warehouse). Guided placement of received or produced goods into bins.
Warehouse Receipt	Příjemka na sklad	Lagerstedsmodtagelse	Wareneingang	Wareneingang	Wareneingang	Warehouse Receipt	Warehouse Receipt	Warehouse Receipt	Warehouse Receipt	Recep. almacén	Recep. almacén	F. varastoinnin vastaanotto	Réception entrepôt	Réception de l'entrepôt	Réception entrepôt	Réception entrepôt	Vöruhússmóttaka	Carico warehouse	Carico warehouse	Lagermottak	Magazijnontvangst	Magazijnontvangst	Distributionslagerinleverans	Document (Warehouse). Receives inbound purchase/transfer/production output into warehouse before put-away.
Warehouse Register	Žurnál skladu	Lagerjournal	Lagerplatzjournal	Lagerplatzjournal	Lagerplatzjournal	Warehouse Register	Warehouse Register	Warehouse Register	Warehouse Register	Registro almacén	Registro almacén	F. var. rekisteri	Hist. transactions entrepôt	Registre magasin	Hist. transactions entrepôt	Hist. transactions entrepôt	Vöruhúsadagbók	Registro warehouse	Registro warehouse	Lagerjournal	Magazijnjournaal	Magazijnjournaal	Dist.lager register	Posted register (Warehouse). Audit record of warehouse activities (pick, movement, put-away) and resulting entries.
Warehouse Shipment	Dodávka ze skladu	Lagerleverance	Warenausgang	Warenausgang	Warenausgang	Warehouse Shipment	Warehouse Shipment	Warehouse Shipment	Warehouse Shipment	Envío almacén	Envío almacén	F.var. toimitus	Expédition entrepôt	Livraison d'entrepôt	Expédition entrepôt	Expédition entrepôt	Vöruhúsaafhending	Spedizione warehouse	Spedizione warehouse	Lagerlevering	Mag. -verzending	Mag. -verzending	Distributionslagerutleverans	Document (Warehouse). Consolidates outbound lines for picking and shipment posting.
Work Center	Pracovní centrum	Arbejdscenter	Arbeitsplatzgruppe	Arbeitsplatzgruppe	Arbeitsplatzgruppe	Work Centre	Work Centre	Work Centre	Work Centre	Centro trabajo	Centro trabajo	Tuotantosolu	Centre de charge	Atelier	Centre de charge	Centre de charge	Vinnustöð	Area di produzione	Area di produzione	Arbeidssenter	Afdeling	Afdeling	Produktionsgrupp	"Capacity resource (Manufacturing). Aggregated capacity grouping multiple machines or labor; higher-level than Machine Center."
Workflow	Workflow	Workflow	Workflow	Workflow	Workflow	Workflow	Workflow	Workflow	Workflow	Flujo de trabajo	Flujo de trabajo	Työnkulku	Flux de travail	Flux de travail	Flux de travail	Flux de travail	Verkflæði	Workflow	Workflow	Arbeidsflyt	Werkstroom	Werkstroom	Arbetsflöde	Process automation definition (System). Configured set of events, conditions, responses controlling approval and notifications.
Workflow Step	Krok workflow	Workflowtrin	Workflowschritt	Workflowschritt	Workflowschritt	Workflow Step	Workflow Step	Workflow Step	Workflow Step	Paso de flujo de trabajo	Paso de flujo de trabajo	Työnkulun osavaihe	Étape de flux de travail	Étape de flux de travail	Étape de flux de travail	Étape de flux de travail	Verkflæðisskref	Fase workflow	Fase workflow	Arbeidsflyttrinn	Werkstroomstap	Werkstroomstap	Arbetsflödessteg	Component (Workflow). Single action or approval link within a Workflow defining sequence and response.
WIP Method	Metoda NV	Metode til igangværende arbejde	WIP-Methode	WIP-Methode	WIP-Methode	WIP Method	WIP Method	WIP Method	WIP Method	Método WIP	Método WIP	KET-menetelmä	Méthode TEC	Méthode TEC	Méthode TEC	Méthode TEC	VÍV-aðferð	Metodo WIP	Metodo WIP	VIA-metode	OHW-methode	OHW-methode	PIA-metod	Project WIP calculation method (Jobs). Algorithm determining how costs/revenue recognized (Cost of Sales, Completed Contract, etc.).
